iter	Passed	Remaining
399	94736	23684
400	94952	23442
401	95167	23200
402	95395	22961
403	95645	22727
404	95912	22497
405	96179	22268
406	96445	22037
407	96701	21805
408	96954	21571
409	97181	21332
410	97403	21092
411	97617	20850
412	97841	20610
413	98065	20371
414	98278	20129
415	98504	19890
416	98738	19652
417	98984	19418
418	99206	19178
419	99433	18939
420	99679	18704
421	99930	18470
422	100167	18233
423	100390	17994
424	100633	17758
425	100869	17521
426	101092	17282
427	101343	17048
428	101599	16814
429	101845	16579
430	102075	16341
431	102304	16103
432	102541	15866
433	102777	15629
434	103010	15392
435	103233	15153
436	103473	14917
437	103718	14681
438	103971	14447
439	104228	14213
440	104463	13975
441	104693	13738
442	104939	13502
443	105193	13267
444	105440	13031
445	105701	12797
446	105990	12567
447	106279	12335
448	106549	12102
449	106820	11868
450	107071	11632
451	107299	11394
452	107524	11155
453	107765	10918
454	107995	10680
455	108216	10441
456	108440	10203
457	108669	9965
458	108902	9727
459	109155	9491
460	109404	9255
461	109652	9019
462	109891	8781
463	110118	8543
464	110339	8305
465	110560	8066
466	110785	7828
467	111007	7590
468	111230	7352
469	111462	7114
470	111701	6877
471	111968	6642
472	112223	6405
473	112458	6168
474	112686	5930
475	112923	5693
476	113152	5455
477	113386	5218
478	113611	4980
479	113961	4748
480	114211	4511
481	114466	4274
482	114728	4038
483	114991	3801
484	115260	3564
485	115498	3327
486	115741	3089
487	115980	2851
488	116208	2614
489	116436	2376
490	116673	2138
491	116910	1900
492	117171	1663
493	117427	1426
494	117674	1188
495	117910	950
496	118135	713
497	118350	475
498	118566	237
499	118780	0
