iter	RMSE
0	800.7018341
1	764.8878522	2	728.40774
3	693.8551056
4	660.994866155	629.412558266	599.505115477	570.816949
8	543.5770184
9	517.7549144
10	493.5286013
11	470.4390009
12	448.3428214
13	427.3712467
14	407.2045701
15	388.1403261
16	370.3724261
17	353.6154509
18	337.6046267
19	322.2097054
20	307.5241398
21	293.5540829
22	280.2872181
23	267.8777683
24	255.9167956
25	244.7359842
26	233.8896819
27	223.6293774
28	213.9876456
29	204.8140819
30	196.089845
31	188.0899805
32	180.2549789
33	172.9565417
34	166.0616093
35	159.3485066
36	153.0053594
37	146.9877681
38	141.3309884
39	135.9542959
40	130.7914662
41	125.9135185
42	121.355564
43	117.07564
44	113.0055181
45	109.1794274
46	105.5881218
47	102.1880791
48	99.12212844
49	96.08111348
50	93.21748782
51	90.68396928
52	88.16999365
53	85.84786476
54	83.67294032
55	81.70020348
56	79.74402035
57	77.94658343
58	76.17692645
59	74.61416109
60	73.11375567
61	71.75848221
62	70.55153528
63	69.36122052
64	68.26905737
65	67.18900857
66	66.20358588
67	65.20972552
68	64.32950368
69	63.61195059
70	62.91707597
71	62.12169909
72	61.33360532
73	60.75568558
74	60.1832589
75	59.64261172
76	59.1288941
77	58.64485145
78	58.16307208
79	57.67701835
80	57.21409752
81	56.75014286
82	56.32111751
83	56.00137167
84	55.61018392
85	55.30976356
86	54.99969308
87	54.75505895
88	54.48342795
89	54.25548214
90	54.05755602
91	53.76602656
92	53.58871996
93	53.38323454
94	53.0834284
95	52.9049648
96	52.66429255
97	52.43732143
98	52.23008658
99	52.10797869
100	51.86829156
101	51.70144429
102	51.47063209
103	51.30355604
104	51.16169728
105	50.91809593
106	50.76921149
107	50.64405803
108	50.41819586
109	50.27465779
110	50.14493499
111	50.0207488
112	49.8484213
113	49.7053252
114	49.5967094
115	49.48783018
116	49.34788092
117	49.23645528
118	49.14377578
119	49.03021484
120	48.89432811
121	48.82329042
122	48.74803808
123	48.63020961
124	48.52383075
125	48.41031913
126	48.33428893
127	48.28301266
128	48.20802072
129	48.13084897
130	48.04492474
131	47.91385185
132	47.82710487
133	47.76600146
134	47.68388012
135	47.61836977
136	47.52396411
137	47.43658578
138	47.34286178
139	47.25272029
140	47.1532563
141	47.09977942
142	47.02480991
143	46.94658423
144	46.86805949
145	46.8112277
146	46.72789842
147	46.69288683
148	46.63839369
149	46.58492725
150	46.52149233
151	46.43613884
152	46.38403961
153	46.30931076
154	46.2644848
155	46.21243135
156	46.13506969
157	46.05687196
158	45.97460082
159	45.89038338
160	45.82761303
161	45.77238115
162	45.73305449
163	45.69071928
164	45.64162851
165	45.57776047
166	45.51045386
167	45.46414955
168	45.41393895
169	45.36483662
170	45.28115609
171	45.22309085
172	45.15888613
173	45.11356904
174	45.065735
175	45.00988675
176	44.92553217
177	44.86709418
178	44.7781663
179	44.72944661
180	44.64981282
181	44.57635165
182	44.499270911183	44.427406321184	44.35757979
185	44.30002195
186	44.22293368
187	44.16746426
188	44.10074357
189	44.061182431190	44.010614921191	43.954603061192	43.906434531193	43.840494761194	43.813492471195	43.769098451196	43.717820351197	43.673100781198	43.623152361199	43.558973872200	43.500552542201	43.459701472202	43.388796972203	43.348126252204	43.30550602205	43.98837759
206	43.94690288
207	43.90169613
208	43.84234624
209	43.7834629
210	43.70815895
211	43.66597327
212	43.56996817
213	43.52414306
214	43.47858289
215	43.40119295
216	43.35060263
217	43.29706025
218	43.26783281
219	43.22301657
220	43.19022466
221	43.16576861
222	43.12940012
223	43.03199449
224	42.9826289
225	42.9390847
226	42.90353525
227	42.84955638
228	42.81314731
229	42.71874228
230	42.65764632
231	42.61975749
232	42.56854474
233	42.50277111
234	42.45820623
235	42.40409646
236	42.3615727
237	42.31286322
238	42.27801907
239	42.23192624
240	42.18433088
241	42.13485521
242	42.09028409
243	42.04728808
244	42.00061594
245	41.93359839
246	41.89697242
247	41.87394423
248	41.84249031
249	41.75057822
250	41.68042956
251	41.64809854
252	41.61882077
253	41.56518522
254	41.46775581
255	41.38829777
256	41.35385055
257	41.27435994
258	41.2147587
259	41.12857528
260	41.07321424
261	41.02726087
262	40.99224504
263	40.94547424
264	40.91175083
265	40.87662823
266	40.78922271
267	40.7435653
268	40.71571812
269	40.65368179
270	40.59586889
271	40.56346012
272	40.49890781
273	40.41110383
274	40.365702
275	40.33553332
276	40.26985263
277	40.2183076
278	40.18811674
279	40.15999856
280	40.07653342
281	40.00777627
282	39.97808832
283	39.93554624
284	39.87734435
285	39.81756262
286	39.76736688
287	39.71548542
288	39.64846668
289	39.60392829
290	39.5550566
291	39.51584805
292	39.48617472
293	39.42319189
294	39.36345463
295	39.33136757
296	39.30067772
297	39.27570356
298	39.23159335
299	39.20174025
8
